,customer_id,recency,monetary,ontime_avg,is_graduated_last,is_kam_last,microzona_last,birthday,last_order,frequency,R,F,M,RFM_Score,stock_seguridad,umbral_churn,churned,Segment
0,1,16,42.24143,1.0,True,False,149.0,2021-09-17,2023-03-30,3,3,2,2,7,0.75,3.75,True,Clientes Churneados
1,2,1,84.17277125,1.0,True,False,121.0,2021-04-09,2023-05-15,9,5,3,4,12,2.25,11.25,False,Clientes Leales
2,3,1,63.49317229166667,0.9375,True,False,120.0,2021-01-08,2023-06-27,17,5,4,3,12,4.25,21.25,False,Clientes Leales
3,4,5,77.51764357142858,1.0,False,False,635.0,2022-03-31,2023-08-04,13,4,4,4,12,3.25,16.25,False,Clientes Leales
4,5,2,157.32521523809524,0.9761904761904762,False,False,347.0,2022-10-07,2023-08-24,19,4,5,5,14,4.75,23.75,False,Clientes VIP
5,6,5,66.15640178082192,0.958904109589041,True,False,125.0,2021-02-15,2023-08-26,27,4,5,3,12,6.75,33.75,False,Clientes Leales
6,7,0,120.9610075,0.9852941176470589,True,False,33.0,2020-11-04,2023-08-31,26,5,5,5,15,6.5,32.5,False,Clientes VIP
7,8,8,40.223475,0.92,True,False,347.0,2022-10-19,2023-03-21,17,3,4,2,9,4.25,21.25,False,Clientes en Riesgo/Zombies
8,9,1,113.16688527777778,0.9444444444444444,True,False,122.0,2021-02-23,2023-02-28,26,5,5,4,14,6.5,32.5,False,Clientes VIP
9,10,6,119.18735939759036,0.963855421686747,False,False,112.0,2022-07-08,2023-07-05,34,4,5,5,14,8.5,42.5,False,Clientes VIP
10,11,34,52.574353333333335,1.0,False,False,136.0,2022-06-17,2023-04-27,1,2,2,2,6,0.25,1.25,True,Clientes Churneados
11,12,0,178.43264708333334,0.9583333333333334,False,True,472.0,2022-02-10,2023-04-26,33,5,5,5,15,8.25,41.25,False,Clientes VIP
12,13,1,61.730681836734696,0.9795918367346939,True,False,354.0,2021-12-14,2023-05-20,17,5,4,3,12,4.25,21.25,False,Clientes Leales
13,14,14,31.242844444444447,0.8888888888888888,True,False,632.0,2022-04-09,2023-03-06,11,3,4,1,8,2.75,13.75,True,Clientes Churneados
14,15,5,93.26390875,1.0,True,False,136.0,2021-09-16,2023-02-07,11,4,4,4,12,2.75,13.75,False,Clientes Leales
15,16,1,105.77321681818181,0.7954545454545454,True,False,33.0,2021-05-26,2023-01-27,17,5,4,4,13,4.25,21.25,False,Clientes Leales
16,17,0,232.67886611111112,0.9222222222222223,False,True,0.0,2021-10-07,2023-08-04,210,5,5,5,15,52.5,262.5,False,Clientes VIP
17,18,3,71.0212124137931,0.8620689655172413,False,False,33.0,2022-11-01,2023-06-09,14,4,4,3,11,3.5,17.5,False,Clientes en Riesgo/Zombies
18,19,0,131.24843586206896,0.9137931034482759,False,True,125.0,2021-01-16,2023-03-21,62,5,5,5,15,15.5,77.5,False,Clientes VIP
19,20,1,265.4129104700855,0.9102564102564102,False,True,1188.0,2021-02-06,2023-03-17,83,5,5,5,15,20.75,103.75,False,Clientes VIP
20,21,0,54.43314595238095,0.9880952380952381,True,False,120.0,2022-12-07,2023-05-09,43,5,5,2,12,10.75,53.75,False,Clientes Leales
21,22,2,153.2332943103448,0.9310344827586207,True,True,149.0,2022-02-26,2023-08-04,64,4,5,5,14,16.0,80.0,False,Clientes VIP
22,23,1,90.58290933333333,0.9809523809523809,True,False,112.0,2021-05-21,2023-08-05,30,5,5,4,14,7.5,37.5,False,Clientes VIP
